,Name,Distance (mi),Moving Time (hr),Elevation Gain (ft),Average Heartrate (bpm),Average Power (w),Date,Day of the Week
255,Morning Ride,97.83,6.45,11076.12,157.7,203.0,2022-07-30,5
256,Evening Ride,26.35,1.63,2158.79,134.3,219.0,2022-07-27,2
257,Afternoon Ride,22.2,2.15,2309.71,,,2022-07-26,1
258,Morning Ride,107.11,7.23,11532.15,156.0,187.0,2022-07-23,5
259,Less of an ouch today ,29.16,1.94,2552.49,140.5,227.0,2022-07-22,4
260,Evening Ride,14.26,0.86,344.49,120.5,150.0,2022-07-21,3
261,It was only time until I failed a workout ,42.16,2.53,2798.56,144.1,209.0,2022-07-20,2
262,Haircut time ,7.33,0.67,157.48,,69.0,2022-07-17,6
263,NOW ,95.51,5.19,4498.03,144.6,206.0,2022-07-16,5
264,Be me. Record Sullivan on GoPro. Go insanely fast and get awesome video. Hell yeah. Realize you didn’t press record. Nice! ,22.07,2.04,2224.41,,,2022-07-16,5
265,Bicicleta por la mañana ,11.61,0.88,495.41,108.5,118.0,2022-07-15,4
266,Ouch ,30.59,2.01,2244.09,142.7,211.0,2022-07-15,4
267,Ouch ,37.05,2.21,3090.55,147.3,227.0,2022-07-13,2
268,Evening Ride,15.55,1.69,536.75,,71.0,2022-07-12,1
269,Morning Ride,28.75,1.78,2493.44,134.4,195.0,2022-07-10,6
270,Morning Ride,100.15,5.7,7066.93,152.0,206.0,2022-07-09,5
271,Evening Ride,25.51,2.37,3149.61,131.5,,2022-07-09,5
272,Morning Ride,24.58,1.53,367.45,117.1,136.0,2022-07-08,4
273,4x3 + Marina ,33.4,2.06,1791.34,143.7,210.0,2022-07-08,4
274,Evening Ride,18.59,1.48,1325.46,106.3,130.0,2022-07-07,3
275,2x15 ,32.73,1.91,2181.76,144.5,221.0,2022-07-06,2
276,Checked the fire. It works 👍,13.39,1.13,1200.79,,,2022-07-05,1
277,4th with the family ,43.31,3.62,3143.04,,,2022-07-04,0
278,Evening Ride,18.46,1.46,1295.93,114.1,138.0,2022-07-04,0
279,Morning Ride,75.81,4.38,5705.38,151.0,205.0,2022-07-02,5
280,Afternoon Ride,16.42,1.75,2513.12,,,2022-07-02,5
281,Morning Ride,26.26,1.54,459.32,134.2,149.0,2022-07-01,4
282,4x2,21.83,1.44,1879.92,146.9,216.0,2022-07-01,4
283,Evening Ride,26.43,2.04,2627.95,141.8,,2022-06-30,3
284,3x10 ,32.43,1.89,2703.41,152.9,228.0,2022-06-29,2
285,Taking Tony out for a run ,4.14,0.71,206.69,,62.0,2022-06-28,1
286,Rapha Mt. Wilson Club Ride,38.47,2.89,4724.41,150.1,179.0,2022-06-27,0
287,Morning Ride,26.33,1.53,1942.26,142.1,207.0,2022-06-26,6
288,Luft shop ride ,57.1,3.43,3769.69,152.0,196.0,2022-06-25,5
289,Evening Ride,20.51,1.74,2230.97,,,2022-06-25,5
290,Afternoon Ride,17.05,2.18,2536.09,,,2022-06-24,4
291,Evening Ride,27.09,2.29,2819.55,,,2022-06-23,3
292,Sutro ,9.36,1.27,1630.58,153.6,,2022-06-20,0
293,Le Father’s Day ,24.87,2.19,1706.04,114.9,139.0,2022-06-19,6
294,Afternoon Ride,24.12,1.54,1476.38,145.8,198.0,2022-06-18,5
295,JSV 🥐,33.86,2.17,3202.1,161.5,230.0,2022-06-17,4
296,Lunch Ride,1.19,0.56,295.93,,,2022-06-15,2
297,Morning Ride,63.97,3.94,4143.7,143.0,165.0,2022-06-14,1
298,Morning Ride,44.68,2.53,3169.29,159.3,216.0,2022-06-13,0
299,Lunch Ride,6.47,0.36,246.06,,160.0,2022-06-12,6
300,Morning Ride,54.73,3.27,4481.63,166.5,192.0,2022-06-11,5
301,Homewood and back with the padre ,40.34,3.23,3179.13,124.2,134.0,2022-06-10,4
302,Lunch Ride,33.47,2.33,4064.96,157.7,199.0,2022-06-07,1
303,Evening Ride,11.1,1.2,1666.67,,124.0,2022-06-07,1
304,Final exam at 8am on a Sunday. Thanks UCLA!,1.71,0.42,155.84,,,2022-06-05,6
