,Name,Distance (mi),Moving Time (hr),Elevation Gain (ft),Average Heartrate (bpm),Average Power (w),Date,Day of the Week
703,Father's Day! Strava stopped recording for 10 miles. About 54/55 miles total  ,45.26,4.74,2535.76,,,2017-06-18,6
704,Mt. Tam and Marin Headlands ,46.0,4.56,3534.12,,,2017-06-10,5
705,1st day of summer ,19.52,1.48,580.71,,,2017-05-27,5
706,Marina sprint ,51.52,4.67,2534.45,,,2017-05-13,5
707,Afternoon Ride,24.73,2.5,1143.04,,,2017-05-07,6
708,Sausalito and back ,32.96,2.98,2132.55,,,2017-05-06,5
709,Afternoon Ride,26.81,2.97,1689.96,,,2017-04-30,6
710,Afternoon Ride,22.87,2.77,1117.78,,,2017-04-09,6
711,Afternoon Ride,26.87,2.79,1674.54,,,2017-04-02,6
712,Spring break ,19.73,1.93,1157.15,,,2017-03-25,5
713,Michael and Max --- 3/11/17,22.2,2.99,1054.13,,,2017-03-11,5
714,Thanksgiving ride ,15.79,1.79,1328.74,,,2016-11-24,3
715,Afternoon Ride,10.4,1.05,484.25,,,2016-11-23,2
716,Veterans Day weekend --- phone dies and 5 mikes to go ,17.12,1.91,1077.76,,,2016-11-13,6
717,Dad tried to kill me ,17.07,1.74,948.49,,,2016-08-04,3
